GlAccount_parentGlAccountId,GlAccount_glAccountId,GlAccount_accountCode,GlAccount_glAccountClassId,GlAccount_glAccountTypeId,GlAccount_glResourceTypeId,GlAccount_accountName,GlAccount_description,GlAccount_postedBalance
,100000,100000,ASSET,,MONEY,ASSETS,,0
100000,110000,110000,CASH_EQUIVALENT,CURRENT_ASSET,MONEY,CASH,,0
110000,111000,111000,CASH_EQUIVALENT,CURRENT_ASSET,MONEY,CASH ON HAND,,0
100000,111100,111100,CASH_EQUIVALENT,CURRENT_ASSET,MONEY,CURRENT ACCOUNT BANK,,0
100000,111500,111500,CASH_EQUIVALENT,CURRENT_ASSET,MONEY,CERTIFICATES OF DEPOSIT,,0
100000,111600,111600,CASH_EQUIVALENT,CURRENT_ASSET,MONEY,SAVINGS ACCOUNTS BANK,,0
110000,111700,111700,CASH_EQUIVALENT,CURRENT_ASSET,MONEY,CASH IN COUNTERS,,0
110000,111900,111900,CASH_EQUIVALENT,CURRENT_ASSET,MONEY,PETTY CASH,,0
111000,112000,112000,CASH_EQUIVALENT,CURRENT_ASSET,MONEY,UNDEPOSITED RECEIPTS,,0
100000,120000,120000,CURRENT_ASSET,ACCOUNTS_RECEIVABLE,MONEY,ACCOUNTS RECEIVABLE-ESTATE,,0
120000,120001,120001,CURRENT_ASSET,ACCOUNTS_RECEIVABLE,MONEY,Waves Restaurant,,0
120000,120002,120002,CURRENT_ASSET,ACCOUNTS_RECEIVABLE,MONEY,More Super market,,0
120000,120003,120003,CURRENT_ASSET,ACCOUNTS_RECEIVABLE,MONEY,Medplus,,0
120000,120004,120004,CURRENT_ASSET,ACCOUNTS_RECEIVABLE,MONEY,Pre-School (P) Ltd,,0
120000,122000,122000,CURRENT_ASSET,BANK_STLMNT_ACCOUNT,MONEY,IN TRANSIT -CHEQUES IN PROCESS,,0
120000,124000,124000,CURRENT_ASSET,CURRENT_ASSET,MONEY,LOANS RECEIVABLE,,0
124000,124100,124100,CURRENT_ASSET,CURRENT_ASSET,MONEY,LOANS RECEIVABLE - EMPLOYEES,,0
124000,124200,124200,CURRENT_ASSET,CURRENT_ASSET,MONEY,LOANS RECEIVABLE - OWNERS,,0
